X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1090;763;0.6793172;0.8448938;0.6793172;0.8448938;362.5;0.2204613;False;5/31/2026 5:41:28 PM:112;1780224088112;;
583;679;0.3633889;0.7519638;0.2090396;0.5982856;365.9;0.194456;False;5/31/2026 5:41:28 PM:225;1780224088225;;
471;655;0.2932782;0.7246928;0.204688;0.6025195;368.9;0.1952196;False;5/31/2026 5:41:28 PM:289;1780224088289;;
477;654;0.2975355;0.7244497;0.3132967;0.7067695;369.8;0.2037258;False;5/31/2026 5:41:28 PM:363;1780224088363;;
351;619;0.2186819;0.6856542;0.1799731;0.6193212;368.5;0.1920906;False;5/31/2026 5:41:47 PM:606;1780224107606;;
349;611;0.2177274;0.6764755;0.1973588;0.5687191;367.4;0.1914445;False;5/31/2026 5:41:47 PM:672;1780224107672;;
304;594;0.1896971;0.6574773;0.1332769;0.5666737;366.4;0.1954677;False;5/31/2026 5:41:49 PM:318;1780224109318;;
303;539;0.1887688;0.596925;0.1454339;0.3873694;365.4;0.1955485;False;5/31/2026 5:41:49 PM:379;1780224109379;;
288;537;0.1794463;0.5946736;0.09956775;0.5505043;366.3;0.1596912;False;5/31/2026 5:41:49 PM:443;1780224109443;;
267;537;0.1666099;0.5942144;0.08069311;0.5246498;375.9;0.1646824;False;5/31/2026 5:41:49 PM:514;1780224109514;;
255;536;0.1588082;0.5939014;0.0806943;0.524657;384.5;0.1646324;False;5/31/2026 5:41:49 PM:582;1780224109582;;
248;536;0.1549533;0.5940215;0.08471389;0.5951094;394.1;0.1582331;False;5/31/2026 5:41:49 PM:644;1780224109644;;
339;536;0.2117039;0.5931733;0.3024676;0.5605554;398.1;0.1551846;False;5/31/2026 5:41:49 PM:714;1780224109714;;
375;535;0.2339396;0.5928039;0.2914306;0.5560334;401.7;0.1551967;False;5/31/2026 5:41:49 PM:779;1780224109779;;
503;536;0.3134834;0.593015;0.430205;0.5958969;402.1;0.1636625;False;5/31/2026 5:41:49 PM:844;1780224109844;;
504;535;0.3143627;0.5926988;0.3189544;0.5719507;401.8;0.1616835;False;5/31/2026 5:41:49 PM:933;1780224109933;;
513;535;0.3199414;0.5925128;0.3490911;0.5726523;401.4;0.1613771;False;5/31/2026 5:41:50 PM:1;1780224110001;;
505;532;0.3144694;0.5886726;0.2666554;0.530628;406.1;0.1790341;False;5/31/2026 5:41:50 PM:69;1780224110069;;
504;531;0.3140965;0.5882906;0.2988696;0.5643359;411.0;0.1930929;False;5/31/2026 5:41:50 PM:169;1780224110169;;
268;501;0.1670438;0.5548052;0.0940533;0.4828329;404.3;0.1922341;False;5/31/2026 5:41:56 PM:220;1780224116220;;
274;498;0.1710342;0.5518901;0.1866154;0.4647436;398.3;0.1898212;False;5/31/2026 5:41:56 PM:285;1780224116285;;
328;484;0.2047723;0.5356512;0.2786754;0.4047609;394.9;0.1762096;False;5/31/2026 5:41:56 PM:350;1780224116350;;
288;483;0.1794078;0.5351605;0.07999224;0.5310123;394.0;0.1882679;False;5/31/2026 5:41:56 PM:413;1780224116413;;
264;486;0.164783;0.5379709;0.08234973;0.5594277;393.1;0.1884622;False;5/31/2026 5:41:56 PM:476;1780224116476;;
263;483;0.1638703;0.5351768;0.1388215;0.474336;388.3;0.1763292;False;5/31/2026 5:41:56 PM:545;1780224116545;;
262;482;0.1632791;0.5333526;0.1387265;0.4742223;383.9;0.176294;False;5/31/2026 5:41:56 PM:608;1780224116608;;
272;484;0.1695516;0.5356796;0.2007183;0.5560178;384.2;0.187968;False;5/31/2026 5:41:56 PM:674;1780224116674;;
253;498;0.1581034;0.5509346;0.09316447;0.6274563;383.1;0.1981625;False;5/31/2026 5:41:56 PM:740;1780224116740;;
